agency_id,route_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color,route_network
hkir_V-08518,hkir_V-08518-H-3-22,22,"Ágfalvi úti lakótelep - Bánfalvi út - Csengery utca - Ipar körút, vámudvar",3,,152B32,FFFFFF,local
hkir_V-08518,hkir_V-08518-H-3-27,27,"Jereván lakótelep - Aranyhegy - Kórház - Csengery utca, Király Jenő utca",3,,152B32,FFFFFF,local
hkir_V-08518,hkir_V-08518-H-3-27A,27A,Jereván ltp. - Kórház - Aranyhegy,3,,152B32,FFFFFF,local
hkir_V-08518,hkir_V-08518-H-3-27B,27B,"Jereván lakótelep - Virágvölgy - Aranyhegy - Kórház - Csengery utca, Király J. u.",3,,152B32,FFFFFF,local
hkir_V-08518,hkir_V-08518-H-3-27T,27T,Jereván ltp. - Thököly tér - Aranyhegy - Jereván ltp.,3,,152B32,FFFFFF,local
hkir_V-08518,hkir_V-08518-H-3-27Y,27Y,Boldogasszonyi utca - Aranyhegy - Táncsics utca - Jereván lakótelep,3,,152B32,FFFFFF,local
hkir_V-08518,hkir_V-08518-H-3-3,3,Lackner Kristóf utca - Kertváros - Brennbergbánya,3,,152B32,FFFFFF,local
hkir_V-08518,hkir_V-08518-H-3-3Y,3Y,Jereván lakótelep - Ady Endre út - Kertváros - Brennbergbánya,3,,152B32,FFFFFF,local
hkir_V-08518,hkir_V-08518-H-3-4,4,"Ipar körút, vámudvar  Lackner Kristóf utca - Baross út - Ágfalvi úti lakótelep",3,,152B32,FFFFFF,local
hkir_V-08518,hkir_V-08518-H-3-5,5,"Jereván lakótelep - Csengery utca - Ipar körút, AWF Kft.",3,,152B32,FFFFFF,local
hkir_V-08518,hkir_V-08518-H-3-5A,5A,"Jereván lakótelep - Csengery utca - Ipar körút, vámudvar",3,,152B32,FFFFFF,local
hkir_V-08518,hkir_V-08518-H-3-5B,5B,"Ipar körút, vámudvar - Pihenőkereszt lakópark - Híd utca - Jereván lakótelep",3,,152B32,FFFFFF,local
hkir_V-08518,hkir_V-08518-H-3-5Y,5Y,"Jereván lakótelep - Bécsi út - Híd utca - Ipar körút, AWF Kft.",3,,152B32,FFFFFF,local
hkir_V-08518,hkir_V-08518-H-3-7,7,"Jereván lakótelep - Híd utca - Kórház - Csengery utca, Király Jenő utca",3,,152B32,FFFFFF,local
hkir_V-08518,hkir_V-08518-H-3-7A,7A,"Jereván lakótelep - Híd utca - Csengery utca, Király Jenő utca",3,,152B32,FFFFFF,local
hkir_V-08518,hkir_V-08518-H-3-7B,7B,"Jereván lakótelep - Virágvölgy - Híd utca - Csengery utca, Király Jenő utca",3,,152B32,FFFFFF,local
hkir_V-08518,hkir_V-08518-H-3-7T,7T,SO7T Jereván ltp. - Virágvölgy - Aranyhegy - Thököly tér - Jereván ltp.,3,,152B32,FFFFFF,local
hkir_V-08864,hkir_V-08864-H-3-2,2,Aut.vt. - Vasútáll. - Lajvér - Kövesd - Vasútáll. - Aut.vt.,3,,152B32,FFFFFF,local
hkir_V-09760,hkir_V-09760-H-3-1,1,Békés helyijárat,3,,152B32,FFFFFF,local
hkir_V-12575,hkir_V-12575-H-3-2,2,Autóbusz-állomás - Gyár utca,3,,152B32,FFFFFF,local
hkir_V-12575,hkir_V-12575-H-3-3,3,Autóbusz-állomás - Lentihegy,3,,152B32,FFFFFF,local
hkir_V-12575,hkir_V-12575-H-3-94,94,Autóbusz-állomás - Bárszentmihályfa  Lentikápolna - Autóbusz-állomás,3,,152B32,FFFFFF,local
hkir_V-13532,hkir_V-13532-H-3-1,1,Autóbusz-állomás - Horvátnádalja - Autóbusz-állomás,3,,152B32,FFFFFF,local
hkir_V-13532,hkir_V-13532-H-3-1A,1A,Autóbusz-állomás - Felsőberkifalu - Alsóberkifalu - Autóbusz-állomás,3,,152B32,FFFFFF,local
