service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_desc
hkir_M-2024-10-01_2024-10-06,0,0,0,0,0,0,0,20241001,20241004,munkanapokon
hkir_M-2024-10-01_2024-10-11,0,0,0,0,0,0,0,20241001,20241011,munkanapokon
hkir_M-2024-10-01_2024-12-14,0,0,0,0,0,0,0,20241001,20241214,munkanapokon
hkir_M-2024-10-07_2024-10-11,0,0,0,0,0,0,0,20241007,20241011,munkanapokon
hkir_M-2024-10-07_2024-12-14,0,0,0,0,0,0,0,20241007,20241214,munkanapokon
hkir_M-2024-10-12_2024-12-14,0,0,0,0,0,0,0,20241014,20241214,munkanapokon
hkir_M-2024-10-14_2024-10-14,0,0,0,0,0,0,0,20241014,20241014,munkanapokon
hkir_M-2024-10-15_2024-12-14,0,0,0,0,0,0,0,20241015,20241214,munkanapokon
hkir_M-2024-10-31_2024-12-14,0,0,0,0,0,0,0,20241031,20241214,munkanapokon
hkir_MS-2024-09-27_2024-09-30,0,0,0,0,0,0,0,20240929,20240929,munkaszüneti napokon
hkir_MS-2024-09-27_2024-10-06,0,0,0,0,0,0,0,20240929,20241006,munkaszüneti napokon
hkir_MS-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240929,20241208,munkaszüneti napokon
hkir_MS-2024-10-01_2024-10-06,0,0,0,0,0,0,0,20241006,20241006,munkaszüneti napokon
hkir_MS-2024-10-07_2024-12-14,0,0,0,0,0,0,0,20241013,20241208,munkaszüneti napokon
hkir_O-2024-09-27_2024-10-06,0,0,0,0,0,0,0,20240928,20241005,szabadnapokon
hkir_O-2024-09-27_2024-10-11,0,0,0,0,0,0,0,20240928,20241005,szabadnapokon
hkir_O-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240928,20241130,szabadnapokon
hkir_O-2024-10-07_2024-12-14,0,0,0,0,0,0,0,20241012,20241130,szabadnapokon
hkir_O-2024-10-12_2024-10-13,0,0,0,0,0,0,0,20241012,20241012,szabadnapokon
hkir_O-2024-10-14_2024-12-14,0,0,0,0,0,0,0,20241019,20241130,szabadnapokon
hkir_T-2024-09-27_2024-10-30,0,0,0,0,0,0,0,20241028,20241030,tanszünetben munkanapokon
hkir_T-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20241028,20241031,tanszünetben munkanapokon
hkir_T-2024-10-07_2024-12-14,0,0,0,0,0,0,0,20241028,20241031,tanszünetben munkanapokon
hkir_T-2024-10-15_2024-12-14,0,0,0,0,0,0,0,20241028,20241031,tanszünetben munkanapokon
hkir_T-2024-10-31_2024-12-14,0,0,0,0,0,0,0,20241031,20241031,tanszünetben munkanapokon
hkir_TS-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20241102,20241130,téli időszámítás tartama alatt szabadnapokon
hkir_TV-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20241027,20241208,téli időszámítás tartama alatt munkaszüneti napokon
hkir_U-2024-09-27_2024-09-29,0,0,0,0,0,0,0,20240927,20240927,a hetek utolsó munkanapján
hkir_U-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241213,a hetek utolsó munkanapján
hkir_V-2024-09-27_2024-09-29,0,0,0,0,0,0,0,20240929,20240929,a hetek első munkanapját megelőző napon
hkir_V-2024-09-27_2024-09-30,0,0,0,0,0,0,0,20240929,20240929,a hetek első munkanapját megelőző napon
hkir_V-2024-09-27_2024-10-06,0,0,0,0,0,0,0,20240929,20241006,a hetek első munkanapját megelőző napon
hkir_V-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240929,20241208,a hetek első munkanapját megelőző napon
hkir_V-2024-10-01_2024-10-06,0,0,0,0,0,0,0,20241006,20241006,a hetek első munkanapját megelőző napon
hkir_V-2024-10-07_2024-12-14,0,0,0,0,0,0,0,20241013,20241208,a hetek első munkanapját megelőző napon
